Family,Genome,Protein,Genus,Species,Classifier
GH54,GCA_000509525.1,ETM32448.1,Phytophthora,parasitica,dbCAN
PL4,GCA_004346965.1,QBZ58754.1,Magnaporthe,oryzae,CAZy
GT90,GCA_002352725.1,PCD22876.1,Fusarium,graminearum,dbCAN
AA1,GCF_000002855.3,XP_001392958.1,Aspergillus,niger,dbCAN
GH45,GCA_000988865.1,KKO98959.1,Trichoderma,harzianum,dbCAN
GH10,GCA_012656165.1,KAF4272086.1,Aspergillus,fumigatus,dbCAN
CBM35,GCA_900096695.1,SCO76746.1,Fusarium,oxysporum,dbCAN
CBM18,GCA_002352725.1,PCD39365.1,Fusarium,graminearum,dbCAN
GT8,GCA_003615115.1,RKK83989.1,Fusarium,oxysporum,dbCAN
GH16,GCA_003615185.1,RKL12356.1,Fusarium,oxysporum,dbCAN
CE12,GCA_003615185.1,RKL26873.1,Fusarium,oxysporum,dbCAN
CBM42,GCA_900044135.1,CEF78687.1,Fusarium,graminearum,CAZy
AA6,GCF_000149755.1,XP_009526865.1,Phytophthora,sojae,dbCAN
GH28,GCA_002211485.2,TPR04894.1,Aspergillus,niger,dbCAN
GH17,GCA_002234955.1,OXN22671.1,Aspergillus,fumigatus,dbCAN
CBM18,GCA_003615115.1,RKK76181.1,Fusarium,oxysporum,dbCAN
GT48,GCF_000149755.1,XP_009515584.1,Phytophthora,sojae,dbCAN
GH72,GCA_004346965.1,QBZ54031.1,Magnaporthe,oryzae,CAZy
PL3,GCA_012295175.1,KAF4031088.1,Phytophthora,infestans,dbCAN
CBM43,GCA_012656125.1,KAF4284100.1,Aspergillus,fumigatus,dbCAN
GT1,GCA_900044135.1,CEF86653.1,Fusarium,graminearum,CAZy
GH28,GCA_900248155.1,SPB43390.1,Aspergillus,niger,dbCAN
CBM1,GCF_004355905.1,XP_030977633.1,Magnaporthe,grisea,dbCAN
CBM18,GCA_003615165.1,RKK80139.1,Fusarium,oxysporum,dbCAN
CBM6,GCA_003615155.1,RKK98479.1,Fusarium,oxysporum,dbCAN
GH5,GCA_000509525.1,ETM36612.1,Phytophthora,parasitica,dbCAN
GH16,GCA_002838845.1,PKK46395.1,Trichoderma,harzianum,dbCAN
GH20,GCA_002894145.1,PNP59182.1,Trichoderma,harzianum,dbCAN
GH28,GCA_000509485.1,ETL32976.1,Phytophthora,parasitica,dbCAN
GT1,GCA_003615155.1,RKL07381.1,Fusarium,oxysporum,dbCAN
AA12,GCA_004346965.1,QBZ58991.1,Magnaporthe,oryzae,CAZy
GT2,GCA_003615165.1,RKK80568.1,Fusarium,oxysporum,dbCAN
GH72,GCA_012295175.1,KAF4032261.1,Phytophthora,infestans,dbCAN
GH75,GCA_900029915.1,CVK91712.1,Fusarium,proliferatum,dbCAN
GH30,GCA_000509465.1,ETK94015.1,Phytophthora,parasitica,dbCAN
GT1,GCF_000149755.1,XP_009537867.1,Phytophthora,sojae,dbCAN
PL4,GCA_000509465.1,ETK74920.1,Phytophthora,parasitica,dbCAN
GH3,GCA_900044135.1,CEF78397.1,Fusarium,graminearum,CAZy
AA8,GCA_004346965.1,QBZ59992.1,Magnaporthe,oryzae,dbCAN
GH28,GCA_000509485.1,ETL32973.1,Phytophthora,parasitica,dbCAN
AA3,GCA_000988865.1,KKO98273.1,Trichoderma,harzianum,dbCAN
GT71,GCA_000509485.1,ETL28283.1,Phytophthora,parasitica,dbCAN
PL3,GCA_900044135.1,CEF86969.1,Fusarium,graminearum,CAZy
GH43,GCA_012656165.1,KAF4263882.1,Aspergillus,fumigatus,dbCAN
GH16,GCA_003615115.1,RKK66399.1,Fusarium,oxysporum,dbCAN
GH53,GCA_004346965.1,QBZ61909.1,Magnaporthe,oryzae,CAZy
GT71,GCA_000509525.1,ETM34738.1,Phytophthora,parasitica,dbCAN
AA1,GCA_001515345.1,GAQ35882.1,Aspergillus,niger,dbCAN
GH28,GCA_003615115.1,RKK66122.1,Fusarium,oxysporum,dbCAN
GH45,GCA_004346965.1,QBZ56098.1,Magnaporthe,oryzae,dbCAN
GT1,GCA_000599445.1,EYB24871.1,Fusarium,graminearum,dbCAN
CBM48,GCA_900080155.1,SAM59785.1,Ustilago,bromivora,CAZy
GH53,GCA_003615185.1,RKL19052.1,Fusarium,oxysporum,dbCAN
AA9,GCA_003615115.1,RKK78526.1,Fusarium,oxysporum,dbCAN
GH11,GCA_900074895.1,CZT44538.1,Rhynchosporium,secalis,dbCAN
AA11,GCF_004355905.1,XP_030981763.1,Magnaporthe,grisea,dbCAN
GT71,GCF_000149755.1,XP_009528065.1,Phytophthora,sojae,dbCAN
GH10,GCA_900044135.1,CEF75826.1,Fusarium,graminearum,CAZy
GH2,GCA_012656215.1,KAF4274811.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_004346965.1,QBZ56238.1,Magnaporthe,oryzae,dbCAN
AA11,GCA_002352725.1,PCD19324.1,Fusarium,graminearum,dbCAN
GH72,GCA_012656185.1,KAF4259737.1,Aspergillus,fumigatus,dbCAN
AA3,GCA_900044135.1,CEF84725.1,Fusarium,graminearum,dbCAN
GH76,GCA_002838845.1,PKK43711.1,Trichoderma,harzianum,dbCAN
GH72,GCF_000149755.1,XP_009537693.1,Phytophthora,sojae,dbCAN
GH15,GCA_004346965.1,QBZ62081.1,Magnaporthe,oryzae,dbCAN
GH3,GCA_003615185.1,RKL22213.1,Fusarium,oxysporum,dbCAN
CBM18,GCA_900044135.1,CEF88836.1,Fusarium,graminearum,CAZy
GH31,GCA_002234985.1,OXN02338.1,Aspergillus,fumigatus,dbCAN
GH88,GCA_012656185.1,KAF4256281.1,Aspergillus,fumigatus,dbCAN
GH51,GCA_012656125.1,KAF4287812.1,Aspergillus,fumigatus,dbCAN
GT15,GCA_012656215.1,KAF4254943.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_900029915.1,CVL11996.1,Fusarium,proliferatum,dbCAN
GH47,GCA_900074905.1,CZS97095.1,Rhynchosporium,agropyri,dbCAN
GH15,GCA_012656115.1,KAF4290572.1,Aspergillus,fumigatus,dbCAN
GH2,GCA_003615115.1,RKK88369.1,Fusarium,oxysporum,dbCAN
GT1,GCA_002234955.1,OXN28251.1,Aspergillus,fumigatus,dbCAN
GT22,GCA_012656185.1,KAF4263267.1,Aspergillus,fumigatus,dbCAN
CE5,GCA_900096695.1,SCO78263.1,Fusarium,oxysporum,dbCAN
GH105,GCA_004346965.1,QBZ65407.1,Magnaporthe,oryzae,dbCAN
GH75,GCA_003290285.1,RBA20445.1,Fusarium,proliferatum,dbCAN
GH1,GCA_003290285.1,RBA11240.1,Fusarium,proliferatum,dbCAN
GH35,GCA_900248155.1,SPB43718.1,Aspergillus,niger,dbCAN
CE16,GCA_003615115.1,RKK67434.1,Fusarium,oxysporum,dbCAN
GH18,GCA_003290285.1,RBA10473.1,Fusarium,proliferatum,dbCAN
CBM1,GCA_012656115.1,KAF4282978.1,Aspergillus,fumigatus,dbCAN
GH16,GCA_003615115.1,RKK76001.1,Fusarium,oxysporum,dbCAN
GT2,GCA_002211485.2,TPR08040.1,Aspergillus,niger,dbCAN
GT2,GCF_004355905.1,XP_030987766.1,Magnaporthe,grisea,dbCAN
GH3,GCA_900074885.1,CZT07718.1,Rhynchosporium,commune,dbCAN
GH13,GCA_012656125.1,KAF4280476.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_002211485.2,TPR09596.1,Aspergillus,niger,dbCAN
GH10,GCA_000599445.1,EYB31359.1,Fusarium,graminearum,dbCAN
GH0,GCA_002894145.1,PNP56404.1,Trichoderma,harzianum,dbCAN
CBM1,GCF_000149755.1,XP_009527014.1,Phytophthora,sojae,dbCAN
GH47,GCA_000509505.1,ETM02439.1,Phytophthora,parasitica,dbCAN
GH18,GCF_003025115.1,XP_024745540.1,Trichoderma,citrinoviride,dbCAN
GH30,GCA_900080155.1,SAM81688.1,Ustilago,bromivora,CAZy
AA3,GCA_003615185.1,RKL24868.1,Fusarium,oxysporum,dbCAN
GH72,GCA_012656115.1,KAF4295083.1,Aspergillus,fumigatus,dbCAN
GH18,GCA_000509525.1,ETM30938.1,Phytophthora,parasitica,dbCAN
AA3,GCA_002211485.2,TPR03093.1,Aspergillus,niger,dbCAN
AA1,GCA_002234985.1,OXN09163.1,Aspergillus,fumigatus,dbCAN
GH19,GCF_900000015.1,XP_024586280.1,Plasmopara,halstedii,dbCAN
GH31,GCA_002234955.1,OXN28531.1,Aspergillus,fumigatus,dbCAN
CBM48,GCA_003615165.1,RKL07101.1,Fusarium,oxysporum,dbCAN
CE8,GCA_001515345.1,GAQ38487.1,Aspergillus,niger,dbCAN
GH5,GCA_900029915.1,CVL03696.1,Fusarium,proliferatum,dbCAN
GT15,GCA_002352725.1,PCD36501.1,Fusarium,graminearum,dbCAN
GH10,GCA_000509465.1,ETK75381.1,Phytophthora,parasitica,dbCAN
AA6,GCF_000002855.3,XP_001388959.2,Aspergillus,niger,dbCAN
AA9,GCA_900096695.1,SCO77261.1,Fusarium,oxysporum,dbCAN
GH92,GCF_000002855.3,XP_001396265.2,Aspergillus,niger,dbCAN
GT22,GCA_002838845.1,PKK53987.1,Trichoderma,harzianum,dbCAN
GH145,GCA_003615115.1,RKK76408.1,Fusarium,oxysporum,dbCAN
CBM67,GCA_900096695.1,SCO84299.1,Fusarium,oxysporum,dbCAN
GT20,GCA_002352725.1,PCD31778.1,Fusarium,graminearum,dbCAN
AA8,GCA_003615185.1,RKL15669.1,Fusarium,oxysporum,dbCAN
CE5,GCA_900074905.1,CZT00841.1,Rhynchosporium,agropyri,dbCAN
GT62,GCA_002211485.2,TPR03517.1,Aspergillus,niger,dbCAN
PL3,GCA_002352725.1,PCD31622.1,Fusarium,graminearum,dbCAN
CBM21,GCA_900074885.1,CZT06758.1,Rhynchosporium,commune,dbCAN
GH31,GCA_900074895.1,CZT44526.1,Rhynchosporium,secalis,dbCAN
AA1,GCA_900080155.1,SAM64516.1,Ustilago,bromivora,CAZy
GH3,GCA_900044135.1,CEF77881.1,Fusarium,graminearum,CAZy
GH31,GCA_012552325.1,KAF4132156.1,Phytophthora,infestans,dbCAN
PL3,GCA_000599445.1,EYB27001.1,Fusarium,graminearum,dbCAN
GT48,GCA_900029915.1,CVK86343.1,Fusarium,proliferatum,dbCAN
CBM13,GCA_002894145.1,PNP52958.1,Trichoderma,harzianum,dbCAN
CBM1,GCA_004346965.1,QBZ66331.1,Magnaporthe,oryzae,CAZy
CBM24,GCA_003615115.1,RKK66927.1,Fusarium,oxysporum,dbCAN
GT71,GCA_000509465.1,ETK95091.1,Phytophthora,parasitica,dbCAN
GH39,GCA_002838845.1,PKK42526.1,Trichoderma,harzianum,dbCAN
GH31,GCA_000988865.1,KKP04342.1,Trichoderma,harzianum,dbCAN
GT4,GCA_002234985.1,OXN02598.1,Aspergillus,fumigatus,dbCAN
GH16,GCA_000509525.1,ETM44358.1,Phytophthora,parasitica,dbCAN
GT2,GCA_002894145.1,PNP49438.1,Trichoderma,harzianum,dbCAN
GH18,GCA_000988865.1,KKP02892.1,Trichoderma,harzianum,dbCAN
GH31,GCA_900029915.1,CVL12684.1,Fusarium,proliferatum,dbCAN
GH5,GCA_002894145.1,PNP60174.1,Trichoderma,harzianum,dbCAN
GH17,GCA_003615215.1,RKL40537.1,Fusarium,proliferatum,dbCAN
GT2,GCA_003615115.1,RKK82241.1,Fusarium,oxysporum,dbCAN
CBM35,GCA_003615185.1,RKL51886.1,Fusarium,oxysporum,dbCAN
GT22,GCA_012552325.1,KAF4143562.1,Phytophthora,infestans,dbCAN
GH3,GCA_012656185.1,KAF4254252.1,Aspergillus,fumigatus,dbCAN
GH43,GCA_900029915.1,CVL03940.1,Fusarium,proliferatum,dbCAN
GH13,GCA_002894145.1,PNP56290.1,Trichoderma,harzianum,dbCAN
GH81,GCA_900029915.1,CVK91612.1,Fusarium,proliferatum,dbCAN
CE5,GCA_000509525.1,ETM51413.1,Phytophthora,parasitica,dbCAN
AA7,GCA_900029915.1,CVK97754.1,Fusarium,proliferatum,dbCAN
GH16,GCA_002234955.1,OXN13985.1,Aspergillus,fumigatus,dbCAN
GT32,GCF_003025115.1,XP_024746771.1,Trichoderma,citrinoviride,dbCAN
GH78,GCA_003290285.1,RBA21317.1,Fusarium,proliferatum,dbCAN
GT2,GCA_002352725.1,PCD18709.1,Fusarium,graminearum,dbCAN
GT31,GCA_003615165.1,RKL08011.1,Fusarium,oxysporum,dbCAN
GH35,GCA_003615115.1,RKK88406.1,Fusarium,oxysporum,dbCAN
PL4,GCA_012656215.1,KAF4268218.1,Aspergillus,fumigatus,dbCAN
GH5,GCA_001078535.1,CCI41053.1,Albugo,candida,dbCAN
GT2,GCA_003615155.1,RKL06800.1,Fusarium,oxysporum,dbCAN
AA6,GCA_900096695.1,SCO80170.1,Fusarium,oxysporum,dbCAN
GH12,GCF_000002855.3,XP_001400902.1,Aspergillus,niger,dbCAN
GT3,GCA_002234985.1,OXN10227.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_003615185.1,RKL17758.1,Fusarium,oxysporum,dbCAN
GH71,GCA_012656125.1,KAF4282051.1,Aspergillus,fumigatus,dbCAN
GT2,GCA_900029915.1,CVK89910.1,Fusarium,proliferatum,dbCAN
GH79,GCA_900096695.1,SCO76549.1,Fusarium,oxysporum,dbCAN
GH17,GCA_012295175.1,KAF4033803.1,Phytophthora,infestans,dbCAN
GH3,GCA_003615165.1,RKK91062.1,Fusarium,oxysporum,dbCAN
GT33,GCA_001078535.1,CCI50123.1,Albugo,candida,dbCAN
GT71,GCF_900000015.1,XP_024576110.1,Plasmopara,halstedii,dbCAN
AA13,GCA_002234955.1,OXN27605.1,Aspergillus,fumigatus,dbCAN
GH16,GCA_003615115.1,RKK69270.1,Fusarium,oxysporum,dbCAN
GH127,GCA_900096695.1,SCO87343.1,Fusarium,oxysporum,dbCAN
GH3,GCA_900029915.1,CVL12717.1,Fusarium,proliferatum,dbCAN
GH0,GCA_002234985.1,OXN06432.1,Aspergillus,fumigatus,dbCAN
GT57,GCA_003615215.1,RKL46896.1,Fusarium,proliferatum,dbCAN
GH32,GCA_003290285.1,RBA13705.1,Fusarium,proliferatum,dbCAN
GH5,GCA_900074905.1,CZT12515.1,Rhynchosporium,agropyri,dbCAN
CE5,GCA_004346965.1,QBZ58348.1,Magnaporthe,oryzae,CAZy
GH16,GCA_900080155.1,SAM84345.1,Ustilago,bromivora,CAZy
GH0,GCA_003615185.1,RKL33755.1,Fusarium,oxysporum,dbCAN
GH13,GCA_003615215.1,RKL26955.1,Fusarium,proliferatum,dbCAN
GT69,GCA_004346965.1,QBZ57351.1,Magnaporthe,oryzae,dbCAN
GH29,GCA_003615185.1,RKL51745.1,Fusarium,oxysporum,dbCAN
GH13,GCF_000002855.3,XP_001393623.2,Aspergillus,niger,dbCAN
CE4,GCF_000149755.1,XP_009526411.1,Phytophthora,sojae,dbCAN
GT41,GCA_012656165.1,KAF4274247.1,Aspergillus,fumigatus,dbCAN
GT1,GCA_002894145.1,PNP58148.1,Trichoderma,harzianum,dbCAN
GH3,GCA_900044135.1,SCB65805.1,Fusarium,graminearum,dbCAN
AA8,GCA_004346965.1,QBZ59992.1,Magnaporthe,oryzae,CAZy
GH43,GCA_900074895.1,CZT44848.1,Rhynchosporium,secalis,dbCAN
GH78,GCA_900074905.1,CZT09432.1,Rhynchosporium,agropyri,dbCAN
PL1,GCA_012656185.1,KAF4254909.1,Aspergillus,fumigatus,dbCAN
GH12,GCA_003615165.1,RKK85619.1,Fusarium,oxysporum,dbCAN
GT1,GCA_003615165.1,RKK89036.1,Fusarium,oxysporum,dbCAN
GH5,GCA_002234955.1,OXN24178.1,Aspergillus,fumigatus,dbCAN
GT62,GCA_003615165.1,RKK80401.1,Fusarium,oxysporum,dbCAN
GH43,GCF_004355905.1,XP_030985474.1,Magnaporthe,grisea,dbCAN
GH45,GCA_004346965.1,QBZ56098.1,Magnaporthe,oryzae,CAZy
GH67,GCA_000988865.1,KKP03991.1,Trichoderma,harzianum,dbCAN
GT2,GCA_002234955.1,OXN29003.1,Aspergillus,fumigatus,dbCAN
CBM18,GCA_003615215.1,RKL26680.1,Fusarium,proliferatum,dbCAN
CBM1,GCA_012656125.1,KAF4280654.1,Aspergillus,fumigatus,dbCAN
PL26,GCA_012656185.1,KAF4256292.1,Aspergillus,fumigatus,dbCAN
GT24,GCA_004346965.1,QBZ60625.1,Magnaporthe,oryzae,CAZy
GH76,GCA_012656125.1,KAF4288154.1,Aspergillus,fumigatus,dbCAN
CE4,GCA_012656215.1,KAF4269431.1,Aspergillus,fumigatus,dbCAN
GH10,GCF_004355905.1,XP_030982898.1,Magnaporthe,grisea,dbCAN
AA9,GCA_003615215.1,RKL49424.1,Fusarium,proliferatum,dbCAN
CBM48,GCA_002211485.2,TPR07406.1,Aspergillus,niger,dbCAN
AA3,GCA_003290285.1,RBA17505.1,Fusarium,proliferatum,dbCAN
AA9,GCA_000599445.1,EYB30429.1,Fusarium,graminearum,dbCAN
GH47,GCA_004346965.1,QBZ62321.1,Magnaporthe,oryzae,CAZy
AA3,GCA_900096695.1,SCO87502.1,Fusarium,oxysporum,dbCAN
GT31,GCA_002838845.1,PKK44478.1,Trichoderma,harzianum,dbCAN
GH18,GCF_004355905.1,XP_030982205.1,Magnaporthe,grisea,dbCAN
GH12,GCA_012552325.1,KAF4137531.1,Phytophthora,infestans,dbCAN
GH65,GCA_004346965.1,QBZ63695.1,Magnaporthe,oryzae,CAZy
GH95,GCA_012656165.1,KAF4276097.1,Aspergillus,fumigatus,dbCAN
GH72,GCA_001515345.1,GAQ45804.1,Aspergillus,niger,dbCAN
GH146,GCA_900074895.1,CZT48938.1,Rhynchosporium,secalis,dbCAN
GH47,GCA_002894145.1,PNP50220.1,Trichoderma,harzianum,dbCAN
GH12,GCA_003615185.1,RKL30604.1,Fusarium,oxysporum,dbCAN
GH47,GCF_000149755.1,XP_009517557.1,Phytophthora,sojae,dbCAN
GH16,GCA_004346965.1,QBZ55690.1,Magnaporthe,oryzae,dbCAN
GH31,GCA_000509505.1,ETL96758.1,Phytophthora,parasitica,dbCAN
AA9,GCA_900096695.1,SCO76000.1,Fusarium,oxysporum,dbCAN
PL4,GCA_000509485.1,ETL28343.1,Phytophthora,parasitica,dbCAN
GH17,GCA_003615115.1,RKK75103.1,Fusarium,oxysporum,dbCAN
GH3,GCA_012656115.1,KAF4288621.1,Aspergillus,fumigatus,dbCAN
GH5,GCA_000509465.1,ETK95857.1,Phytophthora,parasitica,dbCAN
GH92,GCA_002211485.2,TPR07409.1,Aspergillus,niger,dbCAN
PL1,GCF_000149755.1,XP_009524817.1,Phytophthora,sojae,dbCAN
AA1,GCA_900044135.1,CEF75801.1,Fusarium,graminearum,dbCAN
GH81,GCA_012295175.1,KAF4031263.1,Phytophthora,infestans,dbCAN
GT20,GCA_012656115.1,KAF4295939.1,Aspergillus,fumigatus,dbCAN
CE4,GCA_900080155.1,SAM82034.1,Ustilago,bromivora,CAZy
AA3,GCA_002894145.1,PNP49235.1,Trichoderma,harzianum,dbCAN
GT50,GCA_012656115.1,KAF4293235.1,Aspergillus,fumigatus,dbCAN
GH18,GCA_004346965.1,QBZ59972.1,Magnaporthe,oryzae,dbCAN
GH3,GCA_012656125.1,KAF4282013.1,Aspergillus,fumigatus,dbCAN
GH28,GCA_000509485.1,ETL32989.1,Phytophthora,parasitica,dbCAN
GT90,GCA_012656125.1,KAF4277265.1,Aspergillus,fumigatus,dbCAN
CBM1,GCA_004346965.1,QBZ61617.1,Magnaporthe,oryzae,CAZy
GH19,GCA_000509465.1,ETK73829.1,Phytophthora,parasitica,dbCAN
GT20,GCA_000509525.1,ETM43058.1,Phytophthora,parasitica,dbCAN
PL1,GCA_012295175.1,KAF4041881.1,Phytophthora,infestans,dbCAN
CE5,GCA_003615115.1,RKK85773.1,Fusarium,oxysporum,dbCAN
GH47,GCA_001515345.1,GAQ38177.1,Aspergillus,niger,dbCAN
CE4,GCA_900044135.1,CEF86032.1,Fusarium,graminearum,dbCAN
GH0,GCF_003025115.1,XP_024749321.1,Trichoderma,citrinoviride,dbCAN
CBM20,GCA_012656215.1,KAF4265651.1,Aspergillus,fumigatus,dbCAN
GH13,GCA_002838845.1,PKK46814.1,Trichoderma,harzianum,dbCAN
GH78,GCA_003615155.1,RKL16211.1,Fusarium,oxysporum,dbCAN
GH18,GCA_900096695.1,SCO92208.1,Fusarium,oxysporum,dbCAN
GH76,GCA_004346965.1,QBZ57188.1,Magnaporthe,oryzae,dbCAN
GH5,GCA_012295175.1,KAF4029277.1,Phytophthora,infestans,dbCAN
GT8,GCA_900044135.1,CEF86021.1,Fusarium,graminearum,CAZy
GH3,GCA_001515345.1,GAQ45485.1,Aspergillus,niger,dbCAN
GH16,GCF_003025115.1,XP_024746015.1,Trichoderma,citrinoviride,dbCAN
GH2,GCA_012552325.1,KAF4148113.1,Phytophthora,infestans,dbCAN
GH154,GCA_003615185.1,RKL43687.1,Fusarium,oxysporum,dbCAN
GH78,GCA_012656115.1,KAF4285058.1,Aspergillus,fumigatus,dbCAN
GT4,GCA_003290285.1,RBA19905.1,Fusarium,proliferatum,dbCAN
AA9,GCA_004346965.1,QBZ61923.1,Magnaporthe,oryzae,dbCAN
CE1,GCA_003615215.1,RKL37203.1,Fusarium,proliferatum,dbCAN
GT69,GCA_002352725.1,PCD18483.1,Fusarium,graminearum,dbCAN
GT20,GCA_012656115.1,KAF4282072.1,Aspergillus,fumigatus,dbCAN
CBM18,GCA_002234955.1,OXN27082.1,Aspergillus,fumigatus,dbCAN
GH16,GCA_002234955.1,OXN28512.1,Aspergillus,fumigatus,dbCAN
GH32,GCA_012656165.1,KAF4269738.1,Aspergillus,fumigatus,dbCAN
GT22,GCA_000509525.1,ETM54111.1,Phytophthora,parasitica,dbCAN
AA9,GCA_012656125.1,KAF4284702.1,Aspergillus,fumigatus,dbCAN
GT2,GCA_012656165.1,KAF4275694.1,Aspergillus,fumigatus,dbCAN
GH55,GCA_003615185.1,RKL33245.1,Fusarium,oxysporum,dbCAN
CE5,GCA_002234985.1,OXN09523.1,Aspergillus,fumigatus,dbCAN
CBM1,GCF_003025115.1,XP_024746041.1,Trichoderma,citrinoviride,dbCAN
GH5,GCA_001078535.1,CCI41057.1,Albugo,candida,dbCAN
GH28,GCA_900044135.1,CEF79745.1,Fusarium,graminearum,dbCAN
GT4,GCA_002211485.2,TPR08963.1,Aspergillus,niger,dbCAN
GH53,GCA_900074895.1,CZT47696.1,Rhynchosporium,secalis,dbCAN
AA9,GCA_000599445.1,EYB30905.1,Fusarium,graminearum,dbCAN
PL9,GCA_000599445.1,EYB25531.1,Fusarium,graminearum,dbCAN
AA3,GCA_001515345.1,GAQ36772.1,Aspergillus,niger,dbCAN
GT8,GCA_002352725.1,PCD41013.1,Fusarium,graminearum,dbCAN
AA1,GCA_900096695.1,SCO91508.1,Fusarium,oxysporum,dbCAN
AA9,GCA_012656165.1,KAF4266500.1,Aspergillus,fumigatus,dbCAN
GH5,GCA_000599445.1,EYB28080.1,Fusarium,graminearum,dbCAN
GH17,GCA_900044135.1,CEF86434.1,Fusarium,graminearum,dbCAN
CE4,GCA_002352725.1,PCD18332.1,Fusarium,graminearum,dbCAN
GT5,GCA_012656115.1,KAF4289603.1,Aspergillus,fumigatus,dbCAN
GH15,GCA_900044135.1,CEF86425.1,Fusarium,graminearum,dbCAN
GH5,GCF_000149755.1,XP_009535720.1,Phytophthora,sojae,dbCAN
GH6,GCF_900000015.1,XP_024583303.1,Plasmopara,halstedii,dbCAN
CE5,GCF_003025115.1,XP_024750978.1,Trichoderma,citrinoviride,dbCAN
GH18,GCA_012656165.1,KAF4274306.1,Aspergillus,fumigatus,dbCAN
GT58,GCA_012656215.1,KAF4279141.1,Aspergillus,fumigatus,dbCAN
GH16,GCA_003290285.1,RBA20849.1,Fusarium,proliferatum,dbCAN
GH30,GCA_012656115.1,KAF4291996.1,Aspergillus,fumigatus,dbCAN
GT32,GCA_003615115.1,RKK69450.1,Fusarium,oxysporum,dbCAN
GT71,GCA_000509485.1,ETL48494.1,Phytophthora,parasitica,dbCAN
GH10,GCA_012656165.1,KAF4268307.1,Aspergillus,fumigatus,dbCAN
GH16,GCF_000149755.1,XP_009516496.1,Phytophthora,sojae,dbCAN
AA1,GCA_900044135.1,SCB65047.1,Fusarium,graminearum,dbCAN
GH30,GCA_003615165.1,RKL11625.1,Fusarium,oxysporum,dbCAN
CE4,GCA_900044135.1,CEF86739.1,Fusarium,graminearum,CAZy
GH13,GCF_000002855.3,XP_001400455.1,Aspergillus,niger,dbCAN
GT2,GCA_900080155.1,SAM81567.1,Ustilago,bromivora,CAZy
GH27,GCF_004355905.1,XP_030977166.1,Magnaporthe,grisea,dbCAN
GH19,GCA_000509465.1,ETK73830.1,Phytophthora,parasitica,dbCAN
GT59,GCA_002352725.1,PCD17895.1,Fusarium,graminearum,dbCAN
GH10,GCF_000149755.1,XP_009536426.1,Phytophthora,sojae,dbCAN
CE1,GCA_003615155.1,RKK99938.1,Fusarium,oxysporum,dbCAN
CE16,GCA_900248155.1,SPB50629.1,Aspergillus,niger,dbCAN
GH30,GCA_000509465.1,ETK93223.1,Phytophthora,parasitica,dbCAN
GH47,GCA_002234955.1,OXN22962.1,Aspergillus,fumigatus,dbCAN
GH5,GCA_900096695.1,SCO86292.1,Fusarium,oxysporum,dbCAN
GH36,GCA_900044135.1,CEF71908.1,Fusarium,graminearum,CAZy
GH5,GCA_900074885.1,CZS88001.1,Rhynchosporium,commune,dbCAN
CE4,GCA_900029915.1,CVK87348.1,Fusarium,proliferatum,dbCAN
CBM1,GCA_002894145.1,PNP52464.1,Trichoderma,harzianum,dbCAN
GT21,GCA_004346965.1,QBZ54772.1,Magnaporthe,oryzae,CAZy
GT4,GCA_003615215.1,RKL46188.1,Fusarium,proliferatum,dbCAN
GH2,GCF_003025115.1,XP_024752555.1,Trichoderma,citrinoviride,dbCAN
CE2,GCA_900044135.1,CEF88401.1,Fusarium,graminearum,dbCAN
GH31,GCA_003290285.1,RBA17543.1,Fusarium,proliferatum,dbCAN
GH135,GCA_002234985.1,OXN08926.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_900044135.1,CEF78744.1,Fusarium,graminearum,CAZy
GH12,GCA_000509525.1,ETM53988.1,Phytophthora,parasitica,dbCAN
GH28,GCA_012295175.1,KAF4045321.1,Phytophthora,infestans,dbCAN
GT22,GCA_003615115.1,RKK76110.1,Fusarium,oxysporum,dbCAN
GH16,GCA_900029915.1,CVL05778.1,Fusarium,proliferatum,dbCAN
GT20,GCA_012552325.1,KAF4142989.1,Phytophthora,infestans,dbCAN
GH79,GCA_003615155.1,RKL10678.1,Fusarium,oxysporum,dbCAN
GH79,GCF_000002855.3,XP_001400789.1,Aspergillus,niger,dbCAN
GH2,GCF_000002855.3,XP_001399199.2,Aspergillus,niger,dbCAN
GH3,GCA_002352725.1,PCD19943.1,Fusarium,graminearum,dbCAN
GH5,GCA_000509525.1,ETM37214.1,Phytophthora,parasitica,dbCAN
CE8,GCA_002894145.1,PNP50973.1,Trichoderma,harzianum,dbCAN
CBM1,GCA_900044135.1,CEF88482.1,Fusarium,graminearum,dbCAN
GH81,GCA_012552325.1,KAF4147233.1,Phytophthora,infestans,dbCAN
GT41,GCA_900074895.1,CZT52505.1,Rhynchosporium,secalis,dbCAN
GH114,GCF_000002855.3,XP_001400265.1,Aspergillus,niger,dbCAN
GH16,GCF_004355905.1,XP_030976443.1,Magnaporthe,grisea,dbCAN
CBM35,GCA_003615155.1,RKK90712.1,Fusarium,oxysporum,dbCAN
GT2,GCA_000509485.1,ETL36779.1,Phytophthora,parasitica,dbCAN
GH128,GCA_001515345.1,GAQ42075.1,Aspergillus,niger,dbCAN
